pk_NLX,root_meaning,connotation,opposite_connotation,related,ML_orient,ML_group,category,ord#,note
wfx031,joy,delight,,,iterate,tension,i.novelty,3,
wfx032,courage,,discouraged,,iterate,tension,i.novelty,3,
wfx033,presence,self-possessed,absent,,iterate,tension,i.novelty,3,
wfx034,boredom,tiresome,,,embed,tension,e.novelty,4,
wfx035,craziness,,,,embed,tension,e.novelty,4,
wfx036,isolation,--,,,embed,tension,e.novelty,4,
wfx037,arising,a posteriori,,,iterate,tension,i.novelty,5,
wfx038,flexibility,contingency,,,iterate,tension,i.novelty,5,
wfx039,consideration,,,,iterate,tension,i.novelty,5,
wfx040,laziness,,,,embed,tension,e.novelty,6,
wfx041,ignorance,,,,embed,tension,e.novelty,6,
wfx042,rage,,,,embed,tension,e.novelty,6,
wfx043,forgiveness,redemption,,,iterate,tension,i.novelty,7,
wfx044,initiative,,,,iterate,tension,i.novelty,7,
wfx045,longing,yearn,recoil,,iterate,tension,i.novelty,7,
wfx046,probability,tendencies,,,embed,tension,e.novelty,8,
wfx047,uncertainty,ambiguity,,,embed,tension,e.novelty,8,
wfx048,chaos,disorder,,,embed,tension,e.novelty,8,
wfx049,persistent,,,,iterate,tension,i.pattern,1,
wfx050,gathering,,,,iterate,tension,i.pattern,1,
wfx051,position,,,,iterate,tension,i.pattern,1,
wfx052,consensus,consent,,,embed,tension,e.pattern,2,
wfx053,dualism,oversimplification,,,embed,tension,e.pattern,2,
wfx054,denial,,,,embed,tension,e.pattern,2,
wfx055,attachment,,,,iterate,tension,i.pattern,3,
wfx056,control,,,,iterate,tension,i.pattern,3,
wfx057,fear,,,,iterate,tension,i.pattern,3,
wfx058,anticipation,,,,embed,tension,e.pattern,4,
wfx059,morality,,,,embed,tension,e.pattern,4,
wfx060,apathy,indifferent,passion,,embed,tension,e.pattern,4,
wfx061,assumptions,a priori,,,iterate,tension,i.pattern,5,
wfx062,rigidity,necessity,,,iterate,tension,i.pattern,5,
wfx063,determination,,,,iterate,tension,i.pattern,5,
wfx064,consistency,,,,embed,tension,e.pattern,6,
wfx065,justification,,,,embed,tension,e.pattern,6,
wfx066,sorrow,,,,embed,tension,e.pattern,6,
wfx067,retribution,karma,,,iterate,tension,i.pattern,7,
wfx068,limits,regulations,,,iterate,tension,i.pattern,7,
wfx069,closeness,,,,iterate,tension,i.pattern,7,
wfx070,causation,,,,embed,tension,e.pattern,8,
wfx071,proof,,,,embed,tension,e.pattern,8,
wfx072,awe,mystery of the unknown,,,embed,tension,e.pattern,8,
wfx073,hidden,,,,iterate,context,i.exist,1,
wfx074,nothingness,,,,iterate,context,i.exist,1,
wfx075,possibility,,,,iterate,context,i.exist,1,
wfx076,crown (divine connection),sky,,,iterate,context,i.confide,3,
wfx077,heart (centered),center,,,iterate,context,i.confide,3,
wfx078,ground (earth connection),ground,,,iterate,context,i.confide,3,
wfx079,source,authority,,,iterate,context,i.connect,5,
wfx080,potential,,,,iterate,context,i.connect,5,
wfx081,impetus,initiative,,,iterate,context,i.connect,5,
wfx082,purpose,journey,,,iterate,context,i.respond,7,
wfx083,change,,,,iterate,context,i.respond,7,
wfx084,commonality,commonality,,,iterate,context,i.respond,7,
wfx085,convergence,partnership,,,embed,focus,e.implicit,2,
wfx086,creativity,spark,,,embed,focus,e.implicit,2,
wfx087,rejection,,,,embed,focus,e.implicit,2,
wfx088,admiration,adoration,,,embed,focus,e.influence,2,
wfx089,media,,,,embed,focus,e.influence,2,
wfx090,domination,dictate,,,embed,focus,e.influence,2,
wfx091,celebrity,fame,,,embed,focus,e.explicit,2,
wfx092,devotion,worship,,,embed,focus,e.explicit,2,
wfx093,grief,,,,embed,focus,e.explicit,2,
wfx094,enduring,resilience,,,embed,focus,e.implicit,4,
wfx095,nurturing,survival,,,embed,focus,e.implicit,4,
wfx096,wounding,hurt,,,embed,focus,e.implicit,4,
wfx097,hierarchy,status,,,embed,focus,e.influence,4,
wfx098,ethics,,,,embed,focus,e.influence,4,
wfx099,gluttony,demand,,,embed,focus,e.influence,4,
wfx100,possessive ownership,possessiveness,,,embed,focus,e.explicit,4,
wfx101,approval,,,,embed,focus,e.explicit,4,
wfx102,shame,disgust,,,embed,focus,e.explicit,4,
wfx103,competition,,,,embed,focus,e.implicit,6,
wfx104,play,,,,embed,focus,e.implicit,6,
wfx105,loss,,,,embed,focus,e.implicit,6,
wfx106,rivalry,vendetta,,,embed,focus,e.influence,6,
wfx107,laws,rules,,,embed,focus,e.influence,6,
wfx108,violence,struggle,,,embed,focus,e.influence,6,
wfx109,"vigilantism & ""causes""",causes,,,embed,focus,e.explicit,6,
wfx110,protection,,,,embed,focus,e.explicit,6,
wfx111,abandonment,,,,embed,focus,e.explicit,6,
wfx112,disciplined activity,,,,embed,focus,e.implicit,8,
wfx113,inquisitiveness,questioning,,,embed,focus,e.implicit,8,
wfx114,disorientation,confusion,,,embed,focus,e.implicit,8,
wfx115,orderliness,,,,embed,focus,e.influence,8,
wfx116,guidance,,,,embed,focus,e.influence,8,
wfx117,doubt,disturb,,,embed,focus,e.influence,8,
wfx118,dogma,doctrine,,,embed,focus,e.explicit,8,
wfx119,promises,,,,embed,focus,e.explicit,8,
wfx120,despair,resignation,,,embed,focus,e.explicit,8,
wfx121,stillness,calm,,,iterate,integrate,i.boundless,1,
wfx122,oneness,,,,embed,integrate,e.boundless,2,
wfx123,spirit,,,,iterate,integrate,i.boundless,3,
wfx124,perceptiveness,,,,embed,integrate,e.boundless,4,
wfx125,time,,,,iterate,integrate,i.boundless,5,
wfx126,story,,,,embed,integrate,e.boundless,6,
wfx127,greater good,,,,iterate,integrate,i.boundless,7,
wfx128,truth,,,,embed,integrate,e.boundless,8,
wfx129,existential coherence,,,,iterate,integrate,iterate.axis,1,
wfx130,instinct to be open,,,,embed,integrate,embed.axis,2,
wfx131,rational self-awareness,,,,iterate,integrate,iterate.axis,3,
wfx132,internal reality perceptions,,,,embed,integrate,embed.axis,4,
wfx133,rational connectedness,,,,iterate,integrate,iterate.axis,5,
wfx134,openness to other,,,,embed,integrate,embed.axis,6,
wfx135,rational other-awareness,,,,iterate,integrate,iterate.axis,7,
wfx136,external reality perceptions,,,,embed,integrate,embed.axis,8,
wfx137,emerging self,,,,iterate,integrate,iterate.vibe,1,
wfx138,limitless self,,,,embed,integrate,embed.vibe,2,
wfx139,flowing self,,,,iterate,integrate,iterate.vibe,3,
wfx140,empty self,,,,embed,integrate,embed.vibe,4,
wfx141,changing self,,,,iterate,integrate,iterate.vibe,5,
wfx142,heroic self,,,,embed,integrate,embed.vibe,6,
wfx143,achieving self,actualizing self,,,iterate,integrate,iterate.vibe,7,
wfx144,objective self,,,,embed,integrate,embed.vibe,8,
wfx145,empty,meaninglessness,,,iterate,integrate,i.constraint,1,
wfx146,manipulation,,,,embed,integrate,e.constraint,2,
wfx147,wildness,,,,iterate,integrate,i.constraint,3,
wfx148,selfishness,,,,embed,integrate,e.constraint,4,
wfx149,superstitiousness,,,,iterate,integrate,i.constraint,5,
wfx150,radicalism,,,,embed,integrate,e.constraint,6,
wfx151,authoritarianism,,,,iterate,integrate,i.constraint,7,
wfx152,guardedness,,,,embed,integrate,e.constraint,8,
wfx153,mystery,,,,iterate,integrate,i.represent,1,
wfx154,subtlety,,,,embed,integrate,e.represent,2,
wfx155,ease,,,,iterate,integrate,i.represent,3,
wfx156,mastery,,,,embed,integrate,e.represent,4,
wfx157,magic,,,,iterate,integrate,i.represent,5,
wfx158,hope,,,,embed,integrate,e.represent,6,
wfx159,faith,,,,iterate,integrate,i.represent,7,
wfx160,surprise,,,,embed,integrate,e.represent,8,
wfx161,collective meaningfulness,,,,iterate,integrate,i.capacity,1,
wfx162,collective generativeness,,,,embed,integrate,e.capacity,2,
wfx163,collective self-awareness,,,,iterate,integrate,i.capacity,3,
wfx164,collective willingness,,,,embed,integrate,e.capacity,4,
wfx165,collective influence-awareness,,,,iterate,integrate,i.capacity,5,
wfx166,collective expression of values,,,,embed,integrate,e.capacity,6,
wfx167,collective other-awareness,,,,iterate,integrate,i.capacity,7,
wfx168,collective visionary growth,,,,embed,integrate,e.capacity,8,
wfx169,void,nothingness,,,iterate,integrate,i.communion,1,
wfx170,good faith,,,,embed,integrate,e.communion,2,
wfx171,internal realignment,,,,iterate,integrate,i.communion,3,
wfx172,sensuality,,,,embed,integrate,e.communion,4,
wfx173,present moment,,,,iterate,integrate,i.communion,5,
wfx174,character,,,,embed,integrate,e.communion,6,
wfx175,external realignment,,,,iterate,integrate,i.communion,7,
wfx176,revelation,,,,embed,integrate,e.communion,8,
